include,nome,grupo,Detran_SC,IBGE,ANP
True,Joinville,Região de Joinville,8179,4209102,JOINVILLE
True,Florianópolis,Região de Florianópolis,8105,4205407,FLORIANOPOLIS
True,Blumenau,Região de Blumenau,8047,4202404,BLUMENAU
True,São José,Região de Florianópolis,8327,4216602,SAO JOSE
True,Chapecó,Região de Chapecó,8081,4204202,CHAPECO
True,Itajaí,Região de Blumenau,8161,4208203,ITAJAI
True,Criciúma,Região de Criciúma,8089,4204608,CRICIUMA
True,Jaraguá do Sul,Região de Joinville,8175,4208906,JARAGUA DO SUL
True,Palhoça,Região de Florianópolis,8233,4211900,PALHOCA
True,Lages,Região de Lages,8183,4209300,LAGES
True,Balneário Camboriú,Região de Blumenau,8039,4202008,BALNEARIO CAMBORIU
True,Brusque,Região de Blumenau,8055,4202909,BRUSQUE
True,Tubarão,Região de Criciúma,8367,4218707,TUBARAO
True,Biguaçu,Região de Florianópolis,8045,4202305,BIGUACU